Frequency,Input,Callsign,Description,System/Category,Tag,Updated
29.56000,29.66000,,10 Meter,Miscellaneous,Ham,2011:09:30
30.86000,,KLO335,Operations,Des Plaines Valley Mosquito Abatement District,Public Works,2008:12:29
31.02000,,KLO335,Operations,Des Plaines Valley Mosquito Abatement District,Public Works,2008:12:29
35.18000,,WPGG338,Niles Flash Cab Association [Ch 1] (Niles),Taxi Cabs,Transportation,2008:04:05
35.64000,,WQDE455,Paging,Skokie Hospital,Data,2005:07:21
35.88000,,WPGG338,Niles Flash Cab Association [Ch 2] (Niles),Taxi Cabs,Transportation,2008:04:05
35.92000,,WPGG338,Niles Flash Cab Association [Ch ?] (Niles),Taxi Cabs,Transportation,2008:04:05
37.18000,,KEY896,Sanitary District: Ops (Voice),South Stickney,Public Works,2011:01:11
37.94000,,,Palatine Township: Highway Department,Townships and Water Districts,Public Works,2008:12:30
43.68000,,WQX982,Paging [Terminated],Ravenswood Hospital Medical Center (Chicago),Data,2005:10:09
44.54000,,WQDW399,Bus Ops,Buses,Transportation,2005:11:29
44.54000,,WQDW399,Rail Ops,Rail,Transportation,2005:11:15
44.88000,,WNQT248,Godley Park District,Arlington Heights,Public Works,2006:08:06
46.04000,,KSE515,EMS: Daleys Ops [Old? Ch 1],Bud's Ambulance (Dolton),EMS Dispatch,2008:12:27
47.62000,,KLP919,Operations [Canceled 1/13],Lurie Childrens Memorial Hospital (Chicago),Business,2005:01:05
47.66000,,KSE515,EMS: Daleys Ops [Old? Ch 2],Bud's Ambulance (Dolton),EMS-Tac,2008:12:27
48.22000,,,Water Department,Evanston,Public Works,2007:06:13
51.11000,52.81000,,6 Meter,Miscellaneous,Ham,2011:09:30
115.00000,,WQGU577,Radionavigation,Lansing Municpal Airport [IGQ],Aircraft,2008:01:16
118.27500,,,Chicago Departure NE Loop,Approach / Departure,Aircraft,2015:07:28
118.40000,,,Approach/Departure (Chicago),Lansing Municpal Airport [IGQ],Aircraft,2011:04:28
118.45000,,,O'Hare Tower Aux,Tower,Aircraft,2015:07:28
118.70000,,,"Tower ""Midway""",Tower/Approach/Departure,Aircraft,2006:07:14
118.92500,,,Chicago Approach SE Feeder (Rwy 28/10C),Approach / Departure,Aircraft,2015:07:28
119.00000,,,Chicago Approach Z Arrival (Rwy 27L/9R),Approach / Departure,Aircraft,2015:07:28
119.25000,,,O'Hare Clearance Delivery,Clearance,Aircraft,2015:07:28
119.25000,,,O'Hare Tower Emergency,Tower,Aircraft,2015:07:28
