Entity,Callsign,Frequency,Granted,Stat,Units,Pag,Code,Svc,City
100 BELLEVUE PLACE CONDO ASSN.,WQSR602,451.18750,2013-11-04,A,8,0,MO,IG,CHICAGO
100 BELLEVUE PLACE CONDO ASSN.,WQSR602,451.23750,2013-11-04,A,8,0,MO,IG,CHICAGO
100 BELLEVUE PLACE CONDO ASSN.,WQSR602,451.28750,2013-11-04,A,8,0,MO,IG,CHICAGO
100 BELLEVUE PLACE CONDO ASSN.,WQSR602,451.31250,2013-11-04,A,8,0,MO,IG,CHICAGO
100 BELLEVUE PLACE CONDO ASSN.,WQSR602,451.33750,2013-11-04,A,8,0,MO,IG,CHICAGO
100 BELLEVUE PLACE CONDO ASSN.,WQSR602,451.36250,2013-11-04,A,8,0,MO,IG,CHICAGO
1000 CONDOMINIUM ASSOCIATION,WQNK684,461.35000,2011-03-07,A,1,0,FB2,IG,CHICAGO
1000 CONDOMINIUM ASSOCIATION,WQNK684,461.35000,2011-03-07,A,40,0,MO,IG,CHICAGO
1000 CONDOMINIUM ASSOCIATION,WQNK684,466.35000,2011-03-07,A,40,0,MO,IG,CHICAGO
108 NORTH RETAIL LLC,WQKV597,461.81250,2009-09-28,A,1,0,FB2,IG,CHICAGO
108 NORTH RETAIL LLC,WQKV597,461.81250,2009-09-28,A,24,0,MO,IG,CHICAGO
108 NORTH RETAIL LLC,WQKV597,463.73750,2009-09-28,A,1,0,FB2,IG,CHICAGO
108 NORTH RETAIL LLC,WQKV597,463.73750,2009-09-28,A,24,0,MO,IG,CHICAGO
108 NORTH RETAIL LLC,WQKV597,466.81250,2009-09-28,A,24,0,MO,IG,CHICAGO
108 NORTH RETAIL LLC,WQKV597,468.73750,2009-09-28,A,24,0,MO,IG,CHICAGO
"11 SOUTH LASALLE HOTEL PARTNERS, LLC",WQWE707,463.82500,2015-08-03,A,1,0,FB2,YG,CHICAGO
"11 SOUTH LASALLE HOTEL PARTNERS, LLC",WQWE707,463.82500,2015-08-03,A,150,0,MO,YG,CHICAGO
"11 SOUTH LASALLE HOTEL PARTNERS, LLC",WQWE707,464.68750,2015-08-03,A,1,0,FB2,YG,CHICAGO
"11 SOUTH LASALLE HOTEL PARTNERS, LLC",WQWE707,464.68750,2015-08-03,A,150,0,MO,YG,CHICAGO
"11 SOUTH LASALLE HOTEL PARTNERS, LLC",WQWE707,468.82500,2015-08-03,A,5,0,FX1,YG,CHICAGO
"11 SOUTH LASALLE HOTEL PARTNERS, LLC",WQWE707,468.82500,2015-08-03,A,150,0,MO,YG,CHICAGO
"11 SOUTH LASALLE HOTEL PARTNERS, LLC",WQWE707,469.68750,2015-08-03,A,5,0,FX1,YG,CHICAGO
"11 SOUTH LASALLE HOTEL PARTNERS, LLC",WQWE707,469.68750,2015-08-03,A,150,0,MO,YG,CHICAGO
1100 N LAKE SHORE CONDO ASSOC,WQTG204,466.25000,2014-01-27,A,20,0,MO,IG,CHICAGO
1100 N LAKE SHORE CONDO ASSOC,WQTG204,466.27500,2014-01-27,A,20,0,MO,IG,CHICAGO
1100 N LAKE SHORE CONDO ASSOC,WQTG204,466.30000,2014-01-27,A,20,0,MO,IG,CHICAGO
1100 N LAKE SHORE CONDO ASSOC,WQTG204,466.32500,2014-01-27,A,20,0,MO,IG,CHICAGO
1100 N LAKE SHORE CONDO ASSOC,WQTG204,466.35000,2014-01-27,A,20,0,MO,IG,CHICAGO
111 E. WACKER LLC DBA PARKWAY REALTY SERVICES,WQOM853,464.86250,2011-11-21,A,1,0,FB2,IG,CHICAGO
111 E. WACKER LLC DBA PARKWAY REALTY SERVICES,WQOM853,464.86250,2011-11-21,A,30,0,MO,IG,CHICAGO
111 E. WACKER LLC DBA PARKWAY REALTY SERVICES,WQOM853,469.86250,2011-11-21,A,30,0,MO,IG,CHICAGO
111 East Chestnut Condominium Association,WPWI835,451.85000,2012-11-10,A,1,0,FB2,IG,CHICAGO
111 East Chestnut Condominium Association,WPWI835,456.85000,2012-11-10,A,1,0,FX1,IG,CHICAGO
111 East Chestnut Condominium Association,WPWI835,456.85000,2012-11-10,A,25,0,MO,IG,CHICAGO
111 NORTH CANAL LLC,WQUA739,457.66250,2014-05-21,A,35,0,MO,IG,CHICAGO
111 NORTH CANAL LLC,WQUA739,462.41250,2014-05-21,A,35,0,MO,IG,CHICAGO
111 S. WACKER LLC,WQJW886,451.48750,2009-01-28,A,20,0,MO,IG,CHICAGO
111 S. WACKER LLC,WQJW886,451.86250,2009-01-28,A,20,0,MO,IG,CHICAGO
