Entity,Callsign,Frequency,Granted,Stat,Units,Pag,Code,Svc,City
303 TRANSPORTATION LLC,WQNE412,152.27000,2011-01-06,A,1,0,FB2,IG,WHEATON
303 TRANSPORTATION LLC,WQNE412,152.39000,2011-01-06,A,1,0,FB2,IG,WHEATON
303 TRANSPORTATION LLC,WQNE412,152.39000,2011-01-06,A,200,0,MO,IG,WHEATON
303 TRANSPORTATION LLC,WQNE412,157.53000,2011-01-06,A,200,0,MO,IG,WHEATON
303 TRANSPORTATION LLC,WQNE412,157.65000,2011-01-06,A,1,0,FX1,IG,WHEATON
303 TRANSPORTATION LLC,WQNE412,157.65000,2011-01-06,A,200,0,MO,IG,WHEATON
"3500 LACEY ROAD, LLC",WQSH941,466.15000,2013-09-23,A,35,0,MO,IG,DOWNERS GROVE
"3500 LACEY ROAD, LLC",WQSH941,466.17500,2013-09-23,A,35,0,MO,IG,DOWNERS GROVE
"3500 LACEY ROAD, LLC",WQSH941,466.20000,2013-09-23,A,35,0,MO,IG,DOWNERS GROVE
"3500 LACEY ROAD, LLC",WQSH941,466.22500,2013-09-23,A,35,0,MO,IG,DOWNERS GROVE
"3500 LACEY ROAD, LLC",WQSH941,466.25000,2013-09-23,A,35,0,MO,IG,DOWNERS GROVE
701 LOMBARD LLC,WQOB750,457.41250,2011-08-04,A,15,0,MO,IG,LOMBARD
701 LOMBARD LLC,WQOB750,457.83750,2011-08-04,A,15,0,MO,IG,LOMBARD
701 LOMBARD LLC,WQOB750,457.86250,2011-08-04,A,15,0,MO,IG,LOMBARD
701 LOMBARD LLC,WQOB750,457.98750,2011-08-04,A,15,0,MO,IG,LOMBARD
A BEEP LLC,WPIT631,929.03750,2010-11-16,A,1,50000,FB6C,GS,NAPERVILLE
A BEEP LLC,WPIY208,929.03750,2010-11-16,A,1,50000,FB6C,GS,OAKBROOK
A BEEP LLC,WPLY723,929.06250,2008-04-29,A,1,60000,FB6C,GS,AURORA
"A BEEP, LLC",WQUG830,452.38750,2014-07-03,A,1,0,FB6,IG,CAROL STREAM
"A BEEP, LLC",WQUG830,457.38750,2014-07-03,A,90,0,MO6,IG,CAROL STREAM
"A BEEP, LLC",WQUG830,461.05000,2014-07-03,A,1,0,FB6,IG,CAROL STREAM
"A BEEP, LLC",WPLE964,461.05000,2012-01-07,A,1,0,FB6,YG,NAPERVILLE
"A BEEP, LLC",WPLE964,461.12500,2012-01-07,A,1,0,FB6,YG,NAPERVILLE
"A BEEP, LLC",WQUG830,461.52500,2014-07-03,A,1,0,FB6,IG,CAROL STREAM
"A BEEP, LLC",WPLE964,461.52500,2012-01-07,A,1,0,FB6,YG,NAPERVILLE
"A BEEP, LLC",WPLE964,463.57500,2012-01-07,A,1,0,FB6,YG,NAPERVILLE
"A BEEP, LLC",WPLE964,464.22500,2012-01-07,A,1,0,FB6,YG,NAPERVILLE
"A BEEP, LLC",WPLE964,464.85000,2012-01-07,A,1,0,FB6,YG,NAPERVILLE
"A BEEP, LLC",WPLE964,464.95000,2012-01-07,A,1,0,FB6,YG,NAPERVILLE
"A BEEP, LLC",WQUG830,466.05000,2014-07-03,A,90,0,MO6,IG,CAROL STREAM
"A BEEP, LLC",WPLE964,466.05000,2012-01-07,A,90,0,MO,YG,NAPERVILLE
"A BEEP, LLC",WPLE964,466.12500,2012-01-07,A,90,0,MO,YG,NAPERVILLE
"A BEEP, LLC",WQUG830,466.52500,2014-07-03,A,90,0,MO6,IG,CAROL STREAM
"A BEEP, LLC",WPLE964,466.52500,2012-01-07,A,90,0,MO,YG,NAPERVILLE
"A BEEP, LLC",WPLE964,468.57500,2012-01-07,A,90,0,MO,YG,NAPERVILLE
