Frequency,Input,Callsign,Description,System/Category,Tag,Updated
45.36000,,,Lockport Township: Road Maintenance,Townships and Water Districts,Public Works,2012:04:19
45.36000,,WQV998,Emergency Management Intersystem (with IEMA),Mokena,Emergency Ops,2012:04:19
48.38000,,WPEI351,Public Works (Iron Removal Plant),Joliet,Public Works,2006:11:24
108.55000,,WQBU865,Air Operations,Joliet Regional Airport,Aircraft,2014:02:25
111.95000,,WPYG817,Air Operations,Joliet Regional Airport,Aircraft,2014:02:25
118.52500,,WPYJ671,Weather AWOS-3,Lewis University Airport (Rockport/Joliet) [JOT],Aircraft,2014:02:25
119.35000,,,Chicago Area Approach/Departure,Clow International Airport (Bolingbrook) [IC5],Aircraft,2006:07:02
119.35000,,,Approach/Departure (Chicago),Joliet Regional Airport,Aircraft,2014:02:25
122.70000,,WPXA773,Air Operations,Joliet Regional Airport,Aircraft,2014:02:25
122.80000,,WPXX356,CTAF,Lewis University Airport (Rockport/Joliet) [JOT],Aircraft,2014:02:25
122.90000,,,CATF,Clow International Airport (Bolingbrook) [IC5],Aircraft,2006:07:02
122.97500,,WQIQ621,UNICOM,Clow International Airport (Bolingbrook) [IC5],Aircraft,2008:03:08
123.00000,,,UNICOM,Howell-New Lenox Airport [1C2],Aircraft,2011:04:30
123.00000,,KKR5,CTAF/UNICOM,Bult Field Airport (Monee) [C56],Aircraft,2011:04:30
123.50000,,,A&M Aviation: Fuel/Parking,Clow International Airport (Bolingbrook) [IC5],Aircraft,2006:07:02
123.82500,,,ATIS,Joliet Regional Airport,Aircraft,2014:02:25
124.87500,,,"Special Ops (Race Day, etc)",Joliet Regional Airport,Aircraft,2014:02:25
145.21000,144.61000,WB9IRL/R,Illinois Radio League (New Lenox),Miscellaneous,Ham,2013:02:02
147.33000,147.93000,W9BBK/R,Bolingbrook ARS / Skywarn,Miscellaneous,Ham,2009:02:12
151.04000,,KXC498,Joliet Township: Road Maintenance,Townships and Water Districts,Public Works,2012:04:19
151.09250,,,Site 001 Confirmed LCN,Lockport City,TRS,2015:12:08
151.13000,,,Channahon Township : Road Maintenance,Townships and Water Districts,Public Works,2012:04:19
151.18250,154.88250,WQJS838,"Fire: Dispatch (Frnkft,Mkna,Mnhtn,NLnx,EJol)",Lincolnway Communication Center (Frankfort),Fire Dispatch,2014:10:15
151.20500,159.27000,WNSO609,Lockport Township Park District: Police [Ch 6],Townships and Water Districts,Law Tac,2012:04:19
151.21250,,WPWI966,Public Works,University Park,Public Works,2005:08:15
151.29500,,KNHB627,Plainfield Township Park District,Plainfield,Public Works,2005:07:12
151.33250,,,Public Works: Snow Plows [No License],Lockport,Public Works,2005:12:14
151.34750,153.94250,WQNJ942,Public Works,Romeoville,Public Works,2011:03:21
151.40000,,WPHE730,New Lenox Park District,New Lenox,Public Works,2013:02:02
151.43750,159.28000,WQVF215,EMA: Operations (New 4/15),Plainfield,Emergency Ops,2015:04:25
151.45250,154.01250,WQJW712,EMA: Testing [STA],Homer Glen,Fire Dispatch,2008:10:16
151.54250,,WPXU633,Emergency Operations Center,Plainfield,Emergency Ops,2005:07:31
151.77500,159.87000,WPBT297,Operations [Expired],Joliet Regional Airport,Public Works,2014:02:25
151.77500,,WQAB684,Maintenance,Joliet Regional Airport,Public Works,2014:02:25
151.84250,,,Site 001 Confirmed LCN,Lockport City,TRS,2015:12:08
151.89500,,WNZN727,Richland School (Crest Hill),Crest Hill Schools,Schools,2012:04:19
152.30750,157.56750,WQIW827,Bollingbrook Golf Club: Ops,Golf Courses,Business,2010:12:16
152.35250,,,Site 101 Unidentifed LCN,RadiLink (Lockport),TRS,2000:01:01
152.36750,,,Site 101 Unidentifed LCN,RadiLink (Lockport),TRS,2000:01:01
152.41250,157.67250,WPPH536,Homer Community Consolidated School District: Maintenance/Security,Lockport Schools,Schools,2009:06:30
152.41250,157.67250,WPPH536,Homer Community Consolidated School District,Lockport Schools,Schools,2012:04:19
152.42750,,,Site 001 Confirmed LCN,Lockport Township High School,TRS,2000:01:01
152.88500,159.87000,WQAB684,Maintenance / Refueling,Joliet Regional Airport,Public Works,2014:02:25
152.92250,159.59250,WQOW215,LTHS: Transportation Ops,Lockport Schools,Schools,2015:05:06
152.99000,,,Site 001 Confirmed LCN,Lockport Township High School,TRS,2000:01:01
153.48500,151.95500,WPBT297,Operations [Expired],Joliet Regional Airport,Public Works,2014:02:25
153.87500,,WNCW258,EMA: Operations,Romeoville,Emergency Ops,2012:04:19
154.04000,158.76000,KNIV274,Public Works,Frankfort,Public Works,2012:04:19
154.13750,158.78250,WQLQ284,ESDA: Local,Wilmington,Emergency Ops,2011:07:29
154.16000,,KD43536,Fireground ?,Mokena,Fire-Tac,2006:02:05
154.23500,150.80500,WPOZ493,"Fire: Dispatch -- Crete, University Park, Steger (Simulcast on TRS)",EASTCOM - Eastern Will County Communications Network,Fire Dispatch,2007:01:05
154.25000,,KQN451,Fire,Bolingbrook,Fire-Tac,2007:07:18
154.35500,,KSC280,Fire: Dispatch (Simulcast of TRS),Joliet,Fire Dispatch,2011:10:10
154.35500,,,Fire,Elwood,Fire-Tac,2007:07:27
154.35500,,KJH320,Fire,Frankfort,Fire-Tac,2008:12:22
154.37000,,KJH320,Fire,Frankfort,Fire-Tac,2008:12:22
154.40000,,KDV822,"Wilmington Fire Dispatch: Elwood, Custer Twp",Will County 911: Police/Fire,Fire Dispatch,2008:11:22
154.40000,,WQJS838,Fire: Simulcast of 151.1825R (in Feb 08),Frankfort,Deprecated,2009:01:15
154.40000,,KQN451,Fire,Bolingbrook,Fire-Tac,2007:07:18
154.44500,,KWY258,Fire,Rockdale,Fire-Tac,2007:06:23
154.51500,,KNBL797,Operations,Silver Cross Hospital (Joliet / New Lenox),Business,2007:03:21
154.54000,,KNFB456,Fire: Paging ? (no mobiles licensed),Northwest Homer Fire and Ambulance Protection District (Lockport),Fire Dispatch,2008:01:11
154.60000,,MURS,Lowe's Home Improvement (Bolingbrook) [Ch 1],Retail,Business,2007:01:04
154.74750,158.99250,WPWL581,"911: South - ""Minooka"" Troy FPD, Channahon, Minooka, Wilmington",WESCOM - Western Will County Communications Network (Plainfield),Fire Dispatch,2009:01:21
154.77000,,KBW805,Police: Tac-2,Orland Central Dispatch,Law Tac,2009:01:27
154.78500,155.98500,KBW805,"Police: Dispatch (units 700s, 1300s, 2300s)",Orland Central Dispatch,Law Dispatch,2006:09:13
154.85250,158.93250,WPWL581,"911: North - Lockport Twp, Homer Twp. NW Homer Twp. and Plainfield.",WESCOM - Western Will County Communications Network (Plainfield),Fire Dispatch,2015:05:04
154.96500,,,Frankfort Township: Road Maintenance,Townships and Water Districts,Public Works,2012:04:19
155.02500,,KZJ504,Emergency Managment,Bolingbrook,Emergency Ops,2007:07:18
155.02500,,KXZ350,ESMARN,Lockport,Emergency Ops,2005:08:16
155.02500,,KWO819,Public Works / Snowplows [Ch 5],Plainfield,Public Works,2005:12:14
155.02500,153.80000,WQV998,EMA: ESMARN - Local Repeater,Mokena,Emergency Ops,2012:06:11
155.08500,,KNID218,Police: Tac / Public Works,Wilmington,Law Tac,2009:04:06
155.10000,,WPZT334,Public Works,New Lenox,Public Works,2010:11:30
155.10000,,WZH656,Public Works,Mokena,Public Works,2004:11:15
155.11500,,KZJ504,EMA: Operations,Bolingbrook,Emergency Ops,2007:07:18
155.11500,153.75500,KXZ350,City Hall / ESDA / Outdoor Siren Signalling (Police Back-up),Lockport,Emergency Ops,2015:05:04
155.14500,158.94000,KUJ776,"Police: Peotone, Beecher, Monee",EASTCOM - Eastern Will County Communications Network,Law Dispatch,2005:06:26
155.14500,,KXW476,Fire [Expired 8/05],Peotone,Fire-Tac,2005:08:06
155.14500,158.94000,KVJ776,"Emergency Management (Frankfort, Peotone)",Will County Government,Emergency Ops,2014:02:08
155.17500,,KNFA351,"Buses (*possible tone, heard on I-80 ""on 3"")",Channahon School District 17,Schools,2008:06:03
155.19000,,KNIQ390,Police: ?,Crete,Deprecated,2005:11:30
155.22000,,KJQ621,LTHS District 205: Buses (occasionally used),Lockport Schools,Schools,2015:12:08
155.23500,,,Buses [No License],Minooka Schools,Schools,2012:04:19
155.25000,158.89500,KJK731,"Police: Dispatch ""Band 1""  [1D WESCOM]",Bolingbrook,Law Dispatch,2007:07:18
155.26500,,KJB391,School Ops,Mokena Public School District 159,Schools,2012:04:19
155.29500,,WNKC949,EMS: Dispatch,Plainfield,EMS Dispatch,2007:07:27
155.31000,159.21000,KSE414,Police: Local/Alternate [DB: By/on WESCOM] [Expired 5/14],Wilmington,Law Tac,2007:07:27
155.32500,150.79000,WPHM584,Fire/EMS: Dispatch [Ch 1],Bolingbrook,Fire Dispatch,2008:06:02
155.34000,,WQLE307,Patient Reports,Bolingbrook Medical Center,Hospital,2009:12:23
155.34000,,KQY609,Patient Reports,St. Joseph's Medical Center - Joliet,Hospital,2010:12:27
155.34000,,WQLF204,Patient Reports (Mazon?),Silver Cross Hospital (Joliet / New Lenox),Hospital,2010:12:27
155.34000,,KNAD743,Patient Reports (Joliet) [Expired*],Silver Cross Hospital (Joliet / New Lenox),Hospital,2010:12:27
155.34000,,,Patient Reports,Silver Cross Hospital (Joliet / New Lenox),Hospital,2010:12:27
155.35500,,WQAG716,Fire: Old - Back-up?,WESCOM - Western Will County Communications Network (Plainfield),Fire-Talk,2012:02:04
155.43000,,KNIY660,Police: Old Dispatch [Ch 2],Lockport,Law Tac,2005:08:23
155.57250,158.97750,KBW805,Police: Tac,Orland Central Dispatch,Law Tac,2009:01:27
155.65500,158.91000,KZZ683,Police: Old Dispatch,Minooka,Law Dispatch,2007:07:27
155.67000,156.09000,KNBD695,Police: Dispatch - Old / Back-up (was 127.3 PL),Lincolnway Communication Center (Frankfort),Law Dispatch,2015:04:25
155.73000,156.03750,WQPC963,Police: Dispatch - Crest Hill/Lockport (backup to Will County Public Safety P25),WESCOM - Western Will County Communications Network (Plainfield),Law Dispatch,2015:08:26
155.76000,153.80000,KSI571,Emergency Management (TRS TG 1335),Will County Government,Emergency Ops,2012:04:19
155.77500,,KET300,Public Works / Police [Ch 19?],Lockport,Public Works,2005:08:16
155.82750,150.78250,WPPV420,Fire,Braidwood,Fire-Tac,2007:07:18
155.83500,153.93500,KSS916,Fire/EMS: Dispatch/Operations - Monee,EASTCOM - Eastern Will County Communications Network,Fire Dispatch,2014:02:08
155.88000,159.06000,KNFP292,Public Works (also Police Tac-3),Orland Park,Public Works,2009:01:27
155.88750,150.79750,WPPV420,Fire,Braidwood,Fire-Tac,2007:07:18
155.94000,,KTC992,Public Works / Snow Plows / Police [Ch 4],Crest Hill,Public Works,2005:12:14
155.98500,,KNFP292,Public Works,Orland Park,Public Works,2009:01:27
156.13500,,KJK731,Police: Band 4 [Ch 4],Bolingbrook,Law Tac,2007:07:18
156.15000,,,Police: Band 3 - Car to Car [Ch 3],Bolingbrook,Law Tac,2007:07:18
156.16500,170.47500,,"Police: Details/Traffic Units [Ch. 2, No License]",Romeoville,Deprecated,2009:05:20
156.16500,,**,Police: Tac [Ch 15],Orland Central Dispatch,Law Tac,2009:01:27
156.18000,159.32250,WQGB944,Public Works / Water Department,Manhattan,Public Works,2008:10:18
156.21000,153.98000,KJK731,Police: Band 2 - Alternate [Ch 2] (was listed a D411),Bolingbrook,Law Tac,2007:07:18
158.37000,153.09500,WPII800,Citgo Fire [KZ8810],Citgo Refinery (Romeoville),Fire Dispatch,2006:08:27
158.76000,,,Public Works,Minooka,Public Works,2007:07:27
158.80500,,WNZY675,Emergency Management Agency [Ch 6],Plainfield,Emergency Ops,2005:07:12
158.82000,,WPIV579,Public Works / aslo Police? [Ch 6],Channahon,Public Works,2006:09:20
158.83500,,KDN339,Public Works [Also Police Ch 4],Crete,Public Works,2005:11:30
158.85000,154.87500,WPCV634,"Police: Dispatch - Channahon, Shorewood [Ch 1/c2c1]",WESCOM - Western Will County Communications Network (Plainfield),Law Dispatch,2010:12:05
158.85750,159.04500,WPMQ284,Fire: Future  - Mobile Repeater,Orland Central Dispatch,Fire-Tac,2012:07:30
158.91000,,KZZ683,Police: Mobile Extenders,Minooka,Law Tac,2005:10:09
158.91000,,KZZ683,Police: Tac,Minooka,Law Tac,2007:07:27
158.96250,153.77750,KNFB456,Fire: Local (Backup/Interop),Northwest Homer Fire and Ambulance Protection District (Lockport),Fire-Tac,2008:01:12
159.04500,155.30250,WPMQ284,Fire: Dispatch (Oak Forest - Orland Fire),Orland Central Dispatch,Fire Dispatch,2012:07:30
159.16500,153.90500,WQBB981,Police: Dispatch [Ch.1],Romeoville,Law Dispatch,2009:05:20
159.19500,153.86000,WPRI457,Police: Local / Alternate (DB: By/On WECSOM),Braidwood,Law Tac,2007:07:18
159.23250,154.83750,KFG465,Fire: Dispatch,Romeoville,Fire Dispatch,2012:01:22
159.25500,,WNAH456,Park District [Canceled 5/11],Channahon,Public Works,2006:09:20
159.40500,,WPMT612,Police: Beecher Car-to-Car,EASTCOM - Eastern Will County Communications Network,Law Tac,2005:09:06
163.32500,,,EMWIN Data,Will County Government,Data,2011:08:30
166.71500,,,Abraham Lincoln National Cemetary (Elwood),Miscellaneous,Federal,2005:09:25
