Entity,Callsign,Frequency,Granted,Stat,Units,Pag,Code,Svc,City
A BEEP LLC,WPPV629,461.45000,2015-01-03,A,1,0,FB6,YG,MOKENA
A BEEP LLC,WPPV629,461.82500,2015-01-03,A,1,0,FB6,YG,MOKENA
A BEEP LLC,WPPV629,463.95000,2015-01-03,A,1,0,FB6,YG,MOKENA
A BEEP LLC,WPRU495,463.97500,2010-12-14,A,1,0,FB6,IG,MOKENA
A BEEP LLC,WPPV629,466.45000,2015-01-03,A,90,0,MO,YG,MOKENA
A BEEP LLC,WPPV629,466.82500,2015-01-03,A,90,0,MO,YG,MOKENA
A BEEP LLC,WPPV629,468.95000,2015-01-03,A,90,0,MO,YG,MOKENA
A BEEP LLC,WPRU495,468.97500,2010-12-14,A,90,0,MO,IG,MOKENA
A BEEP LLC,WPRJ835,471.32500,2015-10-06,A,1,0,FB6,IG,LOCKPORT
A BEEP LLC,WPRJ835,474.32500,2015-10-06,A,90,0,MO,IG,LOCKPORT
A BEEP LLC,KNNJ203,929.03750,2011-02-08,A,1,30000,FB6C,GS,BOLINGBROOK
A BEEP LLC,WPIY208,929.03750,2010-11-16,A,1,50000,FB6C,GS,JOLIET TOWNSH
A BEEP LLC,WPIY208,929.03750,2010-11-16,A,1,50000,FB6C,GS,JOLIET
A BEEP LLC,WPLY723,929.06250,2008-04-29,A,1,60000,FB6C,GS,LOCKPORT
A BEEP LLC,WPLY723,929.06250,2008-04-29,A,1,60000,FB6C,GS,PLAINFIELD
A BEEP LLC,WPLY723,929.06250,2008-04-29,A,1,60000,FB6C,GS,JOLIET
A BEEP LLC,WPLY723,929.06250,2008-04-29,A,1,60000,FB6C,GS,CRETE
"A BEEP, LLC",WPXS668,151.52750,2013-04-06,A,1,0,FB6,YG,LOCKPORT
"A BEEP, LLC",WPXU633,151.54250,2013-04-06,A,1,0,FB6,YG,LOCKPORT
"A BEEP, LLC",WPXU633,151.54250,2013-04-06,A,500,0,MO,YG,LOCKPORT
"A BEEP, LLC",WPXU633,151.60250,2013-04-06,A,1,0,FB6,YG,LOCKPORT
"A BEEP, LLC",WPXU633,151.60250,2013-04-06,A,500,0,MO,YG,LOCKPORT
"A BEEP, LLC",WPXU633,151.67750,2013-04-06,A,1,0,FB6,YG,LOCKPORT
"A BEEP, LLC",WPXU633,151.67750,2013-04-06,A,500,0,MO,YG,LOCKPORT
"A BEEP, LLC",WPXU633,151.78250,2013-04-06,A,1,0,FB6,YG,LOCKPORT
"A BEEP, LLC",WPXU633,151.78250,2013-04-06,A,500,0,MO,YG,LOCKPORT
"A BEEP, LLC",WPXS668,151.84250,2013-04-06,A,1,0,FB6,YG,LOCKPORT
"A BEEP, LLC",WPXU633,151.85750,2013-04-06,A,1,0,FB6,YG,LOCKPORT
"A BEEP, LLC",WPXU633,151.85750,2013-04-06,A,500,0,MO,YG,LOCKPORT
"A BEEP, LLC",WPPC847,152.35250,2014-09-16,A,1,0,FB8,YG,LOCKPORT
"A BEEP, LLC",WPPC847,152.35250,2014-09-16,A,200,0,MO8,YG,LOCKPORT
"A BEEP, LLC",WPPC847,152.36750,2014-09-16,A,1,0,FB8,YG,LOCKPORT
"A BEEP, LLC",WPPC847,152.36750,2014-09-16,A,200,0,MO8,YG,LOCKPORT
"A BEEP, LLC",WPPC847,157.61250,2014-09-16,A,15,0,FX1,YG,LOCKPORT
"A BEEP, LLC",WPPC847,157.61250,2014-09-16,A,200,0,MO8,YG,LOCKPORT
"A BEEP, LLC",WPPC847,157.62750,2014-09-16,A,15,0,FX1,YG,LOCKPORT
"A BEEP, LLC",WPPC847,157.62750,2014-09-16,A,200,0,MO8,YG,LOCKPORT
"A BEEP, LLC",WPXU633,159.51750,2013-04-06,A,500,0,MO,YG,LOCKPORT
"A BEEP, LLC",WPXS668,159.60750,2013-04-06,A,90,0,MO,YG,LOCKPORT
"A BEEP, LLC",WPXU633,159.62250,2013-04-06,A,500,0,MO,YG,LOCKPORT
"A BEEP, LLC",WPXS668,159.69750,2013-04-06,A,90,0,MO,YG,LOCKPORT
"A BEEP, LLC",WPXU633,159.75750,2013-04-06,A,500,0,MO,YG,LOCKPORT
"A BEEP, LLC",WPXU633,159.90750,2013-04-06,A,500,0,MO,YG,LOCKPORT
"A BEEP, LLC",WPXU633,160.14750,2013-04-06,A,500,0,MO,YG,LOCKPORT
"A Beep, LLC",WQIH430,451.99375,2008-02-12,A,1,0,FB6,YG,WILMINGTON
"A Beep, LLC",WQIH430,451.99375,2008-02-12,A,90,0,MO,YG,WILMINGTON
"A Beep, LLC",WQIH430,456.99375,2008-02-12,A,90,0,MO,YG,WILMINGTON
"A BEEP, LLC",WPUN789,461.25000,2012-02-07,A,1,0,FB6,YG,LOCKPORT
"A BEEP, LLC",WPUN789,461.25000,2012-02-07,A,90,0,MO,YG,LOCKPORT
"A Beep, LLC",WQIH430,461.43125,2008-02-12,A,1,0,FB6,YG,WILMINGTON
"A Beep, LLC",WQIH430,461.43125,2008-02-12,A,90,0,MO,YG,WILMINGTON
"A BEEP, LLC",WQWS938,461.43125,2015-11-10,A,1,0,FB6,YG,LOCKPORT
"A BEEP, LLC",WQWS938,461.50625,2015-11-10,A,1,0,FB6,YG,LOCKPORT
"A BEEP, LLC",WQJD698,461.51250,2008-08-02,A,1,0,FB6,YG,KANKAKEE
"A BEEP, LLC",WQJD698,461.51250,2008-08-02,A,90,0,MO6,YG,KANKAKEE
"A BEEP, LLC",WPUN789,461.65000,2012-02-07,A,1,0,FB6,YG,LOCKPORT
"A BEEP, LLC",WQHJ429,461.66250,2007-08-14,A,1,0,FB6,YG,WILMINGTON
"A BEEP, LLC",WQRE579,461.66875,2013-04-26,A,1,0,FB6,YG,SHOREWOOD
"A BEEP, LLC",WQWS938,461.70625,2015-11-10,A,1,0,FB6,YG,LOCKPORT
"A BEEP, LLC",WPUN789,461.80000,2012-02-07,A,1,0,FB6,YG,LOCKPORT
"A BEEP, LLC",WQJD698,462.01250,2008-08-02,A,1,0,FB6,YG,KANKAKEE
"A BEEP, LLC",WQJD698,462.01250,2008-08-02,A,90,0,MO6,YG,KANKAKEE
"A BEEP, LLC",WQRE579,462.03125,2013-04-26,A,1,0,FB6,YG,SHOREWOOD
"A BEEP, LLC",WPXG665,462.07500,2013-01-18,A,1,0,FB6,YG,LOCKPORT
"A BEEP, LLC",WPUN789,462.12500,2012-02-07,A,1,0,FB6,YG,LOCKPORT
"A BEEP, LLC",WQJD698,463.21250,2008-08-02,A,1,0,FB6,YG,KANKAKEE
"A BEEP, LLC",WQJD698,463.21250,2008-08-02,A,90,0,MO6,YG,KANKAKEE
"A BEEP, LLC",WPUN789,463.30000,2012-02-07,A,1,0,FB6,YG,LOCKPORT
"A BEEP, LLC",WPUN789,463.42500,2012-02-07,A,1,0,FB6,YG,LOCKPORT
"A BEEP, LLC",WPUN789,463.45000,2012-02-07,A,1,0,FB6,YG,LOCKPORT
"A BEEP, LLC",WPXG665,463.47500,2013-01-18,A,1,0,FB6,YG,LOCKPORT
"A BEEP, LLC",WQJD698,463.51250,2008-08-02,A,1,0,FB6,YG,KANKAKEE
"A BEEP, LLC",WQJD698,463.51250,2008-08-02,A,90,0,MO6,YG,KANKAKEE
"A BEEP, LLC",WPUN789,463.52500,2012-02-07,A,1,0,FB6,YG,LOCKPORT
"A BEEP, LLC",WPUN789,463.57500,2012-02-07,A,1,0,FB6,YG,LOCKPORT
"A Beep, LLC",WQIH430,463.58750,2008-02-12,A,1,0,FB8,YG,WILMINGTON
"A Beep, LLC",WQIH430,463.58750,2008-02-12,A,90,0,MO8,YG,WILMINGTON
"A BEEP, LLC",WQHJ429,463.61250,2007-08-14,A,1,0,FB6,YG,WILMINGTON
"A BEEP, LLC",WPXG665,463.67500,2013-01-18,A,1,0,FB6,YG,LOCKPORT
"A BEEP, LLC",WPUN789,463.70000,2012-02-07,A,1,0,FB6,YG,LOCKPORT
"A BEEP, LLC",WQRE579,463.76875,2013-04-26,A,1,0,FB6,YG,SHOREWOOD
"A BEEP, LLC",WQWS938,463.76875,2015-11-10,A,1,0,FB6,YG,LOCKPORT
