Code,Description
AOX,"Operational Fixed"
APC,"ALASKA PUBLIC"
APX,"ALASKA PRIVATE"
APX2,"ALASKA PRIVATE (TEMPORARY)"
AX,"AERONAUTICAL FIXED"
AX1,"AERONAUTICAL FIXED (MOBILE)"
AX2,"AERONAUTICAL FIXED (TEMPORARY)"
DGP,"DIFFERENTIAL GPS"
ELT,"ELT TEST"
ELT1,"ELT TEST (MOBILE)"
FA,"AERONAUTICAL ENROUTE"
FA1,"AERONAUTICAL ENROUTE (MOBILE)"
FA2,"AERONAUTICAL ENROUTE (TEMPORARY)"
FAA,"AERONAUTICAL ADVISORY (UNICOM)"
FAA1,"AERONAUTICAL ADVISORY (UNICOM) (MOBILE)"
FAA2,"AERONAUTICAL ADVISORY (UNICOM) (TEMPORARY)"
FAB,"AUTOMATIC WEATHER OBSERVATION"
FAC,"AIRPORT CONTROL TOWER"
FAS,"AVIATION SUPPORT INSTRUCTIONAL"
FAS1,"AVIATION SUPPORT INSTRUCTIONAL (MOBILE)"
FAT,"FLIGHT TEST"
FAT1,"FLIGHT TEST (MOBILE)"
FAT3,"FLIGHT TEST (ITINERANT)"
FB,"Base"
FB2,"Mobile Relay"
FB2A,"Mobile Relay - Airport Terminal Use"
FB2C,"Mobile Relay - Interconnect"
FB2I,"Mobile Relay - Itinerant"
FB2J,"Mobile Relay - Temporary Interconnect"
FB2K,"Mobile Relay - Stand-by Interconnect"
FB2L,"Mobile Relay - Itinerant Interconnect"
FB2S,"Mobile Relay - Stand-by"
FB2T,"Mobile Relay - Temporary"
FB4,"Community Repeater"
FB4A,"Community Repeater - Airport Terminal Use"
FB4C,"Community Repeater - Interconnect"
FB4I,"Community Repeater - Itinerant"
FB4J,"Community Repeater - Temporary Interconnect"
FB4K,"Community Repeater - Stand-by Interconnect"
FB4L,"Community Repeater - Itinerant Interconnect"
FB4S,"Community Repeater - Stand-by"
FB4T,"Community Repeater - Temporary"
FB6,"Private Carrier (profit)"
FB6A,"Private Carrier (profit) - Airport Terminal Use"
FB6C,"Private Carrier (profit) - Interconnect"
FB6I,"Private Carrier (profit) - Itinerant"
FB6J,"Private Carrier (profit) - Temporary Interconn"
FB6K,"Private Carrier (profit) - Stand-by Interconne"
FB6L,"Private Carrier (profit) - Itinerant Interconn"
FB6S,"Private Carrier (profit) - Stand-by"
FB6T,"Private Carrier (profit) - Temporary"
FB7,"Private Carrier (non-profit)"
FB7A,"Private Carrier (non-profit) - Airport Terminal Use"
FB7C,"Private Carrier (non-profit) - Interconnect"
FB7I,"Private Carrier (non-profit) - Itinerant"
FB7J,"Private Carrier (non-profit) - Temporary Inter"
FB7K,"Private Carrier (non-profit) - Stand-by Interc"
FB7L,"Private Carrier (non-profit) - Itinerant Inter"
FB7S,"Private Carrier (non-profit) - Stand-by"
FB7T,"Private Carrier (non-profit) - Temporary"
FB8,"Centralized Trunk Relay"
FB8A,"Centralized Trunk Relay - Airport Terminal Use"
FB8C,"Centralized Trunk Relay - Interconnect"
FB8I,"Centralized Trunk Relay - Itinerant"
FB8J,"Centralized Trunk Relay - Temporary Interconnect"
FB8K,"Centralized Trunk Relay - Standby Interconnect"
FB8L,"Centralized Trunk Relay - Itinerant Interconnect"
FB8S,"Centralized Trunk Relay - Standby"
FB8T,"Centralized Trunk Relay - Temporary"
FBA,"Base - Airport Terminal Use"
FBAT,"Small Base - Temporary"
FBBS,"Base"
FBC,"Base - Interconnect"
FBCT,"FBCT"
FBGS,"Ground"
FBI,"Base - Itinerant"
FBJ,"Base - Temporary Interconnect"
FBK,"Base - Stand-by Interconnect"
FBL,"Base - Itinerant Interconnect"
